web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766797144-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-bebe-4585357","Vêtements pour bébé","500 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4585357_uploaded_image1_1707428281.jpg)
background-image:url(https://images.coinafrique.com/thumb_4585357_uploaded_image2_1707428282.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4585357_uploaded_image3_1707428282.jpeg)"
"1766797157-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-bebe-0-9-mois-4588746","Robe bébé 0 - 9 mois","2 000 CFA","Thies, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4588746_uploaded_image1_1707650951.jpg)"
"1766797168-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-enfants-4556181","Blouson enfants","8 500 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg)
background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image2_1705852563.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image3_1705852563.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image4_1705852563.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image5_1705852563.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4556181_uploaded_image6_1705852563.jpeg)"
"1766797178-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-enfant-friperie-4604378","Pantalon enfant friperie","3 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4604378_uploaded_image1_1708513583.jpg)"
"1766797193-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-friperie-enfants-4604379","Pantalon friperie enfants","3 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4604379_uploaded_image1_1708513648.jpg)"
"1766797207-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-friperie-enfants-4604385","Pantalon friperie enfants","3 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg)"
"1766797221-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-friperie-enfants-4604387","Pantalon friperie enfants","3 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg)"
"1766797232-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-4606506","Grenouillère","3 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg)
background-image:url(https://images.coinafrique.com/thumb_4606506_uploaded_image2_1708607013.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4606506_uploaded_image3_1708607013.jpeg)"
"1766797242-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4607426","Robe enfant","9 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg)
background-image:url(https://images.coinafrique.com/thumb_4607426_uploaded_image2_1708642699.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4607426_uploaded_image3_1708642699.jpeg)"
"1766797252-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/coffret-naissance-4608080","Coffret naissance","15 000 CFA","Sipres, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg)
background-image:url(https://images.coinafrique.com/thumb_4608080_uploaded_image2_1708687411.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4608080_uploaded_image3_1708687411.jpeg)"
"1766797262-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-filles-4615094","Ensemble filles","5 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg)
background-image:url(https://images.coinafrique.com/thumb_4615094_uploaded_image2_1709070182.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4615094_uploaded_image3_1709070182.jpeg)"
"1766797271-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4615109","Vêtements enfant","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg)
background-image:url(https://images.coinafrique.com/thumb_4615109_uploaded_image2_1709070529.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4615109_uploaded_image3_1709070529.jpeg)"
"1766797281-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-4623032","Robes enfant","15 000 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg)
background-image:url(https://images.coinafrique.com/thumb_4623032_uploaded_image2_1709472242.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4623032_uploaded_image3_1709472242.jpeg)"
"1766797291-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-anniversaire-enfant-4623058","Tenue anniversaire enfant","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg)
background-image:url(https://images.coinafrique.com/thumb_4623058_uploaded_image2_1709473724.jpeg)"
"1766797310-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-4623255","Grenouillère","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4623255_uploaded_image2_1714057632.jpeg)"
"1766797319-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-4624772","Vêtements bébé","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg)"
"1766797332-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4600868","Djellaba enfants","12 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg)
background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image2_1708347690.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image3_1708347690.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image4_1708347690.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image5_1708347690.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600868_uploaded_image6_1708347690.jpeg)"
"1766797347-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4600865","Djellaba enfants","12 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg)
background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image2_1708347570.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image3_1708347570.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image4_1708347570.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image5_1708347570.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4600865_uploaded_image6_1708347570.jpeg)"
"1766797379-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4600870","Djellaba enfants","12 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg)"
"1766797395-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-4651732","Robe fille","15 000 CFA","Medina, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg)
background-image:url(https://images.coinafrique.com/thumb_4651732_uploaded_image2_1710953991.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4651732_uploaded_image3_1710953991.jpeg)"
"1766797427-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-femme-4652500","Robe femme","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg)
background-image:url(https://images.coinafrique.com/thumb_4652500_uploaded_image2_1711013502.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4652500_uploaded_image3_1711013502.jpeg)"
