web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766798257-122","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-enfants-4945928","Pantalon enfants","6 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg)
background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image2_1726439169.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image3_1726439169.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image4_1726439169.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image5_1726439169.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4945928_uploaded_image6_1726439169.jpeg)"
"1766798267-123","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/jeans-enfants-4991997","Jeans enfants","Prix sur demande","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4991997_uploaded_image1_1728856374.jpg)
background-image:url(https://images.coinafrique.com/thumb_4991997_uploaded_image2_1728856375.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4991997_uploaded_image3_1728856375.jpeg)"
"1766798283-124","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-0ans-jusqua-15ans-4957241","Ensemble pour enfant 0ans jusqua 15ans","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg)
background-image:url(https://images.coinafrique.com/thumb_4957241_uploaded_image2_1727083232.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4957241_uploaded_image3_1727083232.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4957241_uploaded_image4_1727083232.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4957241_uploaded_image5_1727083232.jpeg)"
"1766798299-125","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robes-de-fete-5002636","Robes de fête","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5002636_uploaded_image1_1729418520.jpg)"
"1766798310-126","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-4961210","Ensemble pour enfant","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg)
background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image2_1727262074.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image3_1727262074.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image4_1727262074.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image5_1727262074.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961210_uploaded_image6_1727262074.jpeg)"
"1766798320-127","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfant-4961200","Vêtements   pour enfant","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg)
background-image:url(https://images.coinafrique.com/thumb_4961200_uploaded_image2_1727261868.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961200_uploaded_image3_1727261868.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4961200_uploaded_image4_1727261868.jpeg)"
"1766798329-128","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-5010301","Costume enfant","28 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg)
background-image:url(https://images.coinafrique.com/thumb_5010301_uploaded_image2_1729811616.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5010301_uploaded_image3_1729811616.jpeg)"
"1766798342-129","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-veste-garcon-5-pieces-5010327","Ensemble veste garçon 5 pièces","28 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg)
background-image:url(https://images.coinafrique.com/thumb_5010327_uploaded_image2_1729813849.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5010327_uploaded_image3_1729813849.jpeg)"
"1766798355-130","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/lot-pyjamas-enfant-6-8-ans-5014321","Lot pyjamas enfant 6/8 ans","11 000 CFA","Almadies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg)
background-image:url(https://images.coinafrique.com/thumb_5014321_uploaded_image2_1730104437.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5014321_uploaded_image3_1730104437.jpeg)"
"1766798367-131","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-pour-enfant-14ans-15ans-4976513","Pantalon pour enfant 14ans 15ans","4 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg)
background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image2_1728030462.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image3_1728030462.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image4_1728030462.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image5_1728030462.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4976513_uploaded_image6_1728030462.jpeg)"
"1766798378-132","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/maillots-enfants-senegal-5054255","Maillots enfants sénégal","10 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5054255_uploaded_image3_1732155894.jpeg)"
"1766798391-133","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-cotton-5028888","Ensemble pour enfant cotton","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg)
background-image:url(https://images.coinafrique.com/thumb_5028888_uploaded_image2_1730844775.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5028888_uploaded_image3_1730844775.jpeg)"
"1766798401-134","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costumes-enfants-5081958","Ensemble costumes enfants","25 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg)
background-image:url(https://images.coinafrique.com/thumb_5081958_uploaded_image2_1733664149.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5081958_uploaded_image3_1733664149.jpeg)"
"1766798411-135","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pul-enfants-5081973","Ensemble Pul Enfants","18 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg)
background-image:url(https://images.coinafrique.com/thumb_5081973_uploaded_image2_1733664740.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5081973_uploaded_image3_1733664740.jpeg)"
"1766798424-136","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-3-ans-a-8-ans-5045455","Blouson pour enfants 3 ans à 8 ans","8 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg)
background-image:url(https://images.coinafrique.com/thumb_5045455_uploaded_image2_1731673154.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5045455_uploaded_image3_1731673154.jpeg)"
"1766798439-137","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-1ans-5-ans-5046156","Blouson pour enfants 1ans 5 ans","5 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046156_uploaded_image2_1731700664.jpeg)"
"1766798455-138","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-de-4ans-a-12ans-5046160","Blouson pour enfants de 4ans à 12ans","8 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046160_uploaded_image2_1731700971.jpeg)"
"1766798468-139","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-4ans-a-15ans-5046164","Blouson pour enfants 4ans à 15ans","8 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046164_uploaded_image2_1731701239.jpeg)"
"1766798479-140","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-coton-pour-enfants-de-1ans-8ans-5046169","Blouson coton pour enfants de 1ans 8ans","8 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046169_uploaded_image2_1731701583.jpeg)"
"1766798489-141","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-3ans-a-10ans-5046278","Blouson  pour enfants 3ans à 10ans","8 000 CFA","Ouest Foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image2_1731706268.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image3_1731706268.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image4_1731706268.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image5_1731706268.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046278_uploaded_image6_1731706268.jpeg)"
"1766798507-142","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-100-coton-3-ans-9ans-5046861","Blouson pour enfants 100% coton 3 ans 9ans","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg)
background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image2_1731758021.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image3_1731758021.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image4_1731758021.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image5_1731758021.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5046861_uploaded_image6_1731758021.jpeg)"
"1766798520-143","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfant-5058990","Blouson pour enfant","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg)
background-image:url(https://images.coinafrique.com/thumb_5058990_uploaded_image2_1732437877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5058990_uploaded_image3_1732437877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5058990_uploaded_image4_1732437877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5058990_uploaded_image5_1732437877.jpeg)"
"1766798532-144","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106661","Vêtements bébé","1 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5106661_uploaded_image1_1735128299.jpg)
background-image:url(https://images.coinafrique.com/thumb_5106661_uploaded_image2_1735128300.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5106661_uploaded_image3_1735128300.jpeg)"
"1766798548-145","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106669","Vêtements bébé","1 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5106669_uploaded_image1_1735128475.jpg)
background-image:url(https://images.coinafrique.com/thumb_5106669_uploaded_image2_1735128475.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5106669_uploaded_image3_1735128475.jpeg)"
"1766798558-146","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106673","Vêtements bébé","1 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5106673_uploaded_image1_1735128585.jpg)
background-image:url(https://images.coinafrique.com/thumb_5106673_uploaded_image2_1735128586.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5106673_uploaded_image3_1735128586.jpeg)"
"1766798568-147","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106688","Vêtements bébé","1 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg)
background-image:url(https://images.coinafrique.com/thumb_5106688_uploaded_image2_1735128986.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5106688_uploaded_image3_1735128986.jpeg)"
"1766798579-148","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-5071417","Ensemble pour enfant","8 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg)
background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image2_1733140648.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image3_1733140648.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image4_1733140648.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image5_1733140648.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5071417_uploaded_image6_1733140648.jpeg)"
"1766798590-149","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/genouillere-anti-derapante-en-coton-5120586","Genouillère anti-dérapante en coton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5120586_uploaded_image1_1736107643.jpg)
background-image:url(https://images.coinafrique.com/thumb_5120586_uploaded_image2_1736107643.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5120586_uploaded_image3_1736107643.jpeg)"
"1766798601-150","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5129146","Vêtements enfants","4 500 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5129146_uploaded_image1_1736533355.jpg)
background-image:url(https://images.coinafrique.com/thumb_5129146_uploaded_image2_1736533355.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5129146_uploaded_image3_1736533355.jpeg)"
"1766798615-151","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5130020","Vêtements enfants","4 500 CFA","Mbao, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg)
background-image:url(https://images.coinafrique.com/thumb_5130020_uploaded_image2_1736594996.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5130020_uploaded_image3_1736594996.jpeg)"
"1766798626-152","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-5141487","Vêtement enfant","1 000 CFA","Sicap foire, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg)
background-image:url(https://images.coinafrique.com/thumb_5141487_uploaded_image2_1737219570.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5141487_uploaded_image3_1737219570.jpeg)"
"1766798638-153","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-de-1ans-jusqua-15ans-5116396","Ensemble pour enfant de 1ans jusqua 15ans","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg)
background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image2_1735846707.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image3_1735846707.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image4_1735846707.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image5_1735846707.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5116396_uploaded_image6_1735846707.jpeg)"
"1766798651-154","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-mardi-gras-5171755","Ensemble mardi gras","8 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg)
background-image:url(https://images.coinafrique.com/thumb_5171755_uploaded_image2_1738776387.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5171755_uploaded_image3_1738776387.jpeg)"
"1766798662-155","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djialabe-enfant-5196620","Djialabé enfant","8 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg)
background-image:url(https://images.coinafrique.com/thumb_5196620_uploaded_image2_1740145129.jpeg)"
"1766798674-156","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/dialabe-enfant-5181204","Dialabé enfant","10 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg)
background-image:url(https://images.coinafrique.com/thumb_5181204_uploaded_image2_1739296973.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5181204_uploaded_image3_1739296973.jpeg)"
"1766798685-157","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/djialap-pour-enfant-de-4ans-jusqua-18ans-5181431","Djialap pour enfant de 4ans jusqua 18ans","6 500 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg)"
"1766798695-158","https://sn.coinafrique.com/categorie/vetements-enfants?page=2","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5225584","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5225584_uploaded_image1_1741657625.jpg)
background-image:url(https://images.coinafrique.com/thumb_5225584_uploaded_image2_1741657626.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5225584_uploaded_image3_1741657626.jpeg)"
"1766798721-159","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5225585","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5225585_uploaded_image1_1741658034.jpg)
background-image:url(https://images.coinafrique.com/thumb_5225585_uploaded_image2_1741658034.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5225585_uploaded_image3_1741658034.jpeg)"
"1766798730-160","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5225588","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5225588_uploaded_image1_1741658299.jpg)
background-image:url(https://images.coinafrique.com/thumb_5225588_uploaded_image2_1741658299.jpeg)"
"1766798741-161","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-5193655","Vetement  enfants","8 500 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg)
background-image:url(https://images.coinafrique.com/thumb_5193655_uploaded_image2_1739987146.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5193655_uploaded_image3_1739987146.jpeg)"
"1766798752-162","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-priere-enfant-5241328","Robe de prière  enfant","5 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg)
background-image:url(https://images.coinafrique.com/thumb_5241328_uploaded_image2_1742452229.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5241328_uploaded_image3_1742452229.jpeg)"
"1766798763-163","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/maillots-enfants-5246062","Maillots enfants","10 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg)
background-image:url(https://images.coinafrique.com/thumb_5246062_uploaded_image2_1742692008.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5246062_uploaded_image3_1742692008.jpeg)"
"1766798775-164","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/jalaba-pour-enfants-5246901","Jalaba  pour enfants","7 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5246901_uploaded_image3_1742748053.jpeg)"
"1766798792-165","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/jalaba-pour-enfants-5246903","Jalaba  pour enfants","15 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg)"
"1766798802-166","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/robe-iris-enfant-5204766","Robe Iris enfant","15 000 CFA","Ngor, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg)"
"1766798814-167","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/dialab-pour-enfant-5214595","Dialab pour enfant","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image1_1741112064.jpg)
background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image2_1741112064.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image3_1741112064.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image4_1741112064.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image5_1741112064.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214595_uploaded_image6_1741112064.jpeg)"
"1766798824-168","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-dialab-pour-enfant-de-3ans-jusqua-16ans-5214582","Ensemble dialab pour enfant de 3ans jusqua 16ans","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image1_1741111696.jpg)
background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image2_1741111696.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image3_1741111696.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image4_1741111696.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image5_1741111696.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214582_uploaded_image6_1741111696.jpeg)"
"1766798837-169","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-dialab-enfants-3pieces-5214607","Ensemble dialab enfants 3pièces","15 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image1_1741112466.jpg)
background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image2_1741112466.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image3_1741112466.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image4_1741112466.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image5_1741112466.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5214607_uploaded_image6_1741112466.jpeg)"
"1766798848-170","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/dialab-enfant-3pieces-5227233","Dialab enfant 3pièces","12 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg)"
"1766798858-171","https://sn.coinafrique.com/categorie/vetements-enfants?page=1","https://sn.coinafrique.com/annonce/vetements-enfants/dialab-pour-enfant-de-1ans-jusqua-16ans-5227274","Dialab pour enfant de 1ans jusqua 16ans","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg)
background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image2_1741722024.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image3_1741722024.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image4_1741722024.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image5_1741722024.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5227274_uploaded_image6_1741722024.jpeg)"
