web_scraper_order,web_scraper_start_url,container_urls,type habits,prix,adresse,image_lien
"1766788440-122","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/boubou-homme-5583429","Boubou homme","20 000 CFA","Gueule Tapée, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5583429_uploaded_image1_1760991166.jpg)
background-image:url(https://images.coinafrique.com/thumb_5583429_uploaded_image2_1760991166.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5583429_uploaded_image3_1760991166.jpeg)"
"1766788451-123","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/blouson-5585179","Blouson","9 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5585179_uploaded_image1_1761084798.jpg)
background-image:url(https://images.coinafrique.com/thumb_5585179_uploaded_image2_1761084799.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5585179_uploaded_image3_1761084799.jpeg)"
"1766788461-124","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5586869","T-shirts","4 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5586869_uploaded_image1_1761171855.jpg)
background-image:url(https://images.coinafrique.com/thumb_5586869_uploaded_image2_1761171855.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5586869_uploaded_image3_1761171855.jpeg)"
"1766788483-125","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/costumes-africains-5547717","Costumes africains","30 000 CFA","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5547717_uploaded_image1_1759098205.jpg)
background-image:url(https://images.coinafrique.com/thumb_5547717_uploaded_image3_1759098205.jpeg)"
"1766788496-126","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-nike-tech-5588318","Ensemble nike tech","30 000 CFA","Grand Dakar, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5588318_uploaded_image1_1761262014.jpg)
background-image:url(https://images.coinafrique.com/thumb_5588318_uploaded_image2_1761262014.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5588318_uploaded_image3_1761262014.jpeg)"
"1766788507-127","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/survetement-nike-5588326","Survêtement Nike","60 000 CFA","Grand Dakar, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5588326_uploaded_image1_1761262675.jpg)
background-image:url(https://images.coinafrique.com/thumb_5588326_uploaded_image2_1761262675.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5588326_uploaded_image3_1761262675.jpeg)"
"1766788517-128","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/polo-5555324","Polo","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image1_1759429771.jpg)
background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image2_1759429771.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image3_1759429771.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image4_1759429771.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image5_1759429771.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5555324_uploaded_image6_1759429771.jpeg)"
"1766788528-129","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-5548980","Sous vêtements","1 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548980_uploaded_image1_1759170623.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548980_uploaded_image2_1759170624.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548980_uploaded_image3_1759170624.jpeg)"
"1766788537-130","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-5548975","Lacoste","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image1_1759170491.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image2_1759170491.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image3_1759170491.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image4_1759170491.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image5_1759170491.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548975_uploaded_image6_1759170491.jpeg)"
"1766788551-131","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/short-5548982","Short","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image1_1759170753.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image2_1759170754.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image3_1759170754.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image4_1759170754.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image5_1759170754.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548982_uploaded_image6_1759170754.jpeg)"
